JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20100611-1-A1,O,Outbound Job,DTD,Air,Singapore,Brazil,,40,10
J20110003-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,,38,9.5
J20110005-1-S1,O,Outbound Job,DTP,Sea,Singapore,Hong Kong ,Excellent as always.,40,10
J20110011-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,34,8.5
J20110016-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Great team, super friendly, efficient and very good all round service.  Thank you so much.",40,10
J20110017-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,31,7.75
J20110021-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,Very funny and professional crew.  Gives good advice and takes care of the goods.  Sales Consultant always contactable and follow-up frequently.  Using your service gives us peace of mind and hassle free.,40,10
J20110024-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110029-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,,40,10
J20110030-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
J20110040-1-A1,I,Inbound Job,PTD,Air,Indonesia,Singapore,,40,10
J20110042-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,,40,10
J20110043-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,"Extremely efficient, thank you!",40,10
J20110045-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Thank you team K C Dat, especially to Mr Sariman and his team!",40,10
J20110047-1-S1,I,Inbound Job,PTD,Sea,Papua New Guinea,Singapore,,40,10
J20110048-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
J20110051-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,34,8.5
J20110056-1-S1,O,Outbound Job,DTD,Sea,Singapore,India,Very efficient packing service.  Professional and took into account all my shipments.,40,10
J20110057-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20110061-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20110062-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"The crew was friendly, fast, incredibly hardworking and most of all, truly professional.  I was very impressed!",40,10
J20110063-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,,40,10
J20110088-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Very good attitude from all the staff. Both leaders Ami & Azmin were excellent.,40,10
J20110091-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,Amazing service!  Thanks.,40,10
J20110092-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20110093-1-S2,O,Outbound Job,DTP,Sea,Singapore,Japan,,34,8.5
J20110094-1-S1,O,Outbound Job,DTD,Sea,Singapore,New Zealand,"The guys have worked very hard today, everything looks perfectly packed.  Very efficient crew, nothing was a bother to them.",40,10
J20110096-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20110104-1-S1,O,Outbound Job,DTD,Sea,Singapore,Taiwan,Thanks for the hard work.,40,10
J20110114-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20110132-1-S1,I,Inbound Job,DTD,Sea,China,Singapore,,40,10
J20110133-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Fantastic job from Amy and team.  Fast, efficient, accurate and friendly.",40,10
J20110139-1-S3,O,Outbound Job,DTD,Sea,Singapore,Indonesia,"Thank you for the wonderful job - Asian Tigers' packing team was quick, efficient, cheerful.  These men know their job very well and it made the whole experience completely stress-free.  I think this is our 3rd or 4th move with Asian Tigers and I am very pleased.",40,10
J20110142-1-S1,O,Outbound Job,DTP,Sea,Singapore,Russian Federation,,40,10
J20110144-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20110154-1-A1,I,Inbound Job,PTD,Air,United Arab Emirates,Singapore,,34,8.5
J20110173-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,38,9.5
J20110175-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110176-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,"* Delivery crews in Singapore (Adi+Crew) were excellent and first class.
* Issues with delivery constraint (for 4/5 items over-sized), eventually handled well and in timely manner - thank you!
* Many items were damaged (as listed) - these were due to the way the items were packed in Jakarta.",26,6.5
J20110178-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,The best service ever!!! Thank you.,40,10
J20110179-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110185-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Amazing team despite ongoing reno, they kept their cool.  Super!",40,10
J20110186-1-S1,O,Outbound Job,DTP,Sea,Singapore,India,,40,10
J20110197-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,34,8.5
J20110199-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,Incredible experience!  The crew was so friendly and helpful.  I felt very safe with them.  Thank you!,40,10
J20110203-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,,40,10
J20110206-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20110208-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20110213-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,40,10
J20110217-1-S1,O,Outbound Job,DTP,Sea,Singapore,Australia,,40,10
J20110218-1-S1,I,Inbound Job,DTD,Sea,Germany,Singapore,,40,10
J20110219-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,A caring team - working very well under the leadership of Ghani.  Will use this team again in my next relocation exercise.,40,10
J20110221-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,34,8.5
J20110231-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,"Very good, quick and professional team.  Many thanks!",40,10
J20110236-1-S1,O,Outbound Job,DTD,Sea,Singapore,Norway,,40,10
J20110241-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,,40,10
J20110248-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,The crew did a really good job.  Were very caring and positive.  Worked really hard for 2 days.  Everything was perfect.  Thank you.,35,8.75
J20110250-1-S1,I,Inbound Job,DTD,Sea,Japan,Singapore,,40,10
J20110255-1-A1,O,Outbound Job,DTP,Air,Singapore,India,Efficient in terms of both time and quality of work.,40,10
J20110260-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,,40,10
J20110264-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20110272-1-S1,I,Inbound Job,PTD,Sea,Turkey,Singapore,,40,10
J20110281-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,"Lovely team.  Very thoughtful, polite and helpful.  I feel our stuff has been well taken care of.  I am pleased some of our items will be taken by some of the team for themselves.  Thank you all.",40,10
J20110289-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Good job!  So efficient, friendly and nice!",40,10
J20110300-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20110303-1-R1,W,Warehouse Job,P&S,Road,Singapore,Singapore,"I am very satisfy with the Sales Consultant and the whole team of packers.  Their manner, experience and working attitude are excellent!  I would definitely use Asian Tigers again if I happen to move again!",40,10
J20110315-1-S1,O,Outbound Job,DTP,Sea,Singapore,Taiwan,Professional service.  Very thoughtful and helpful to make the packing experience good.  Thanks to Adi and team for a great job.,34,8.5
J20110322-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,Very smooth packing.  Thank you very much.,38,9.5
J20110332-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,The assessment that was done did not factor in appropriate time.  Given that team only has so many hours on site (allowing for lunch/breaks) it was not enough to complete the job as lift booking at new condo was not done.  Hence wasted almost a full day.,33,8.25
J20110347-1-S1,O,Outbound Job,DTP,Sea,Singapore,Canada,Hopefully they had lunch!  So fast :),40,10
J20110348-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,All members and moving crew have been exceptionally helpful and friendly.,40,10
J20110349-1-S2,O,Outbound Job,DTP,Sea,Singapore,United States,"The team was great.  They were quick, careful and very thorough.",40,10
J20110350-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20110351-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20110355-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,Very efficient!,40,10
J20110366-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,Outstanding crew and very blessed to work with a positive attitude.  Good job!!,40,10
J20110369-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Great work.  Great communication!,40,10
J20110371-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110372-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110386-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Packing crew was excellent and extremely efficient.  The move was carried out as per plan and within timeline.  Everyone was very careful and took care of all our requests very well.  this was probably the best time we used Asian Tigers and the level of service and care expected was delivered.,40,10
J20110388-1-S3,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,"Very professional, thanks!",40,10
J20110394-1-S1,O,Outbound Job,DTP,Sea,Singapore,Cambodia,"Excellent job, very professional and friendly, very helpful and co-operative.",38,9.5
J20110401-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20110403-1-R1,O,Outbound Job,DTD,Road,Singapore,Malaysia,Great team work and very professional and respectful.  Took all my stress away.  Thank you so much!,40,10
J20120002-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20120005-1-A2,O,Outbound Job,DTD,Air,Singapore,United Arab Emirates,Very good professional services.,40,10
J20120008-1-S1,I,Inbound Job,PTD,Sea,South Africa,Singapore,,40,10
J20120010-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Very good services.  Thank you.,40,10
J20120011-1-S2,O,Outbound Job,DTD,Sea,Singapore,Vietnam,,40,10
J20120014-1-R1,W,Warehouse Job,P&S,Road,Singapore,Singapore,High performance as always.,40,10
J20120018-1-S1,I,Inbound Job,PTD,Sea,United Kingdom,Singapore,,40,10
J20120019-1-S1,I,Inbound Job,PTD,Sea,Malaysia,Singapore,,40,10
J20120024-1-A1,I,Inbound Job,PTD,Air,Netherlands,Singapore,Very quick.,34,8.5
J20120028-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20120031-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Yan, Anwan and their team were wonderful.  Friendly, patient and accommodating.",40,10
J20120034-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,34,8.5
J20120039-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20120040-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,,40,10
J20120050-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,Thanks for packing my personal box!,40,10
J20120060-1-S1,O,Outbound Job,DTD,Sea,Singapore,Thailand,"The team was amazing!  We were truly impressed with their professionalism, their speed and their respectfulness.  We both felt totally well looked after.  We were in very good hands!",40,10
J20120061-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Please DO NOT put anything on soft furniture.  It spoils springs and fabric.,40,10
J20120063-1-S1,O,Outbound Job,DTD,Sea,Singapore,Taiwan,,40,10
J20120071-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,"Happy crew, skilled and advised on the unpacking due to limited space. 

Email after our reply:
On the whole I appreciate the efforts of the whole team. There will always be cultural differences that may lead to some miscommunications or damages (our tv consol arrived damaged as it was stacked on the side resting on the extended edge rather than on the 4 main legs), we can take those in our stride.

And I would have really like to choose “maybe” as an option, not “no” when asked if I wld recommend. “Maybe” because I feel after sales communication and follow up should be stronger as we will always be in “limbo” till everything is delivered and unpacked. However the presale was great, the in between was alright so just post sale. Perhaps your survey should allow a Maybe option?

Thank you,
Jill 
",40,10
J20120075-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20120081-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,"Good job, guys!",40,10
J20120085-1-R1,W,Warehouse Job,P&S,Road,Singapore,Singapore,,40,10
J20120088-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20120089-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Efficient and friendly service.  Can highly recommend Asian Tigers.,40,10
J20120091-1-S1,O,Outbound Job,DTP,Sea,Singapore,France,Very professional and efficient team led by Mike.  Very happy about the service.,40,10
J20120095-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20120103-1-S1,I,Inbound Job,PTD,Sea,Brazil,Singapore,,40,10
J20120106-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20120107-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20120110-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20120112-1-R1,W,Warehouse Job,P&S,Road,Singapore,Singapore,,40,10
J20120114-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,All the movers were friendly and professional.,40,10
J20120119-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"Crew was friendly and professional and patiently accommodated special packing requests due to our particular inventory.  Great Job!

Would recommend digitizing Asian Tigers' inventory list so it can be shared more easily with clients.",40,10
J20120138-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20120140-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,"Good job by team, professional and efficient.",40,10
J20120146-1-S1,O,Outbound Job,DTD,Sea,Singapore,Japan,,40,10
J20120147-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,,40,10
J20120148-1-S1,I,Inbound Job,DTD,Sea,Netherlands,Singapore,,40,10
J20120152-1-S1,O,Outbound Job,DTP,Sea,Singapore,Taiwan,,40,10
J20120156-1-S1,O,Outbound Job,DTP,Sea,Singapore,Nigeria,Amy & crew were very efficient and courteous.  Thanks to everyone.,40,10
J20120162-1-A1,I,Inbound Job,PTD,Air,India,Singapore,,40,10
J20120163-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20120177-1-S1,I,Inbound Job,PTD,Sea,Philippines,Singapore,Move consultants were very helpful and efficient.,40,10
J20120178-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,Brilliant service from start to finish.  Supervisor went above and beyond to help.  Very happy.,40,10
J20120179-1-S1,I,Inbound Job,PTD,Sea,Canada,Singapore,The crew was good to quickly adjust to my request and help disposed unwanted items.  The service was efficient and generally comfortable in an otherwise hectic day.,38,9.5
J20120181-1-S1,I,Inbound Job,DTD,Sea,Hong Kong ,Singapore,One complaint I have is with the way box #49 was carelessly packed by Chung in Hong Kong.  Our photographs and DVD player (still connected to the plug) was thrown into the box carelessly.,40,10
J20120182-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20120188-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20120190-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,,34,8.5
J20120191-1-S1,I,Inbound Job,PTD,Sea,Turkey,Singapore,,40,10
J20120195-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20120199-1-A1,I,Inbound Job,PTD,Air,India,Singapore,,40,10
J20120201-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20120204-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20120206-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Arab Emirates,"Great team of Mike!!!
Thanks a lot.",40,10
J20120208-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,Very good service!  Efficient crew!  Thank you!,40,10
J20120212-1-A1,O,Outbound Job,DTD,Air,Singapore,United States,,40,10
J20120222-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Mexx, Shankal, Gouse were all FANTASTIC!!  The best team I have ever worked with.  Very efficient with moving and unpacking into my new condo.  Please give each of them a salary increase for their superior work today and world-class customer service.  Thank you TEAM!!!",40,10
J20120225-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,Thank you for great service!,40,10
J20120226-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20120227-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,"Nice, friendly and efficient staff.",40,10
J20120230-1-A1,I,Inbound Job,DTD,Air,United States,Singapore,Wonderful & fast - great team!!!,40,10
J20120232-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20120235-1-S1,I,Inbound Job,PTD,Sea,Philippines,Singapore,,40,10
J20120236-1-A1,I,Inbound Job,DTD,Air,Philippines,Singapore,Only comment was the 2 week delay in Manila was unexpected and not made clear.,40,10
J20120239-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20120241-1-S1,O,Outbound Job,DTD,Sea,Singapore,Thailand,"The team were very good, supportive and efficient.  Super helpful and provided wonderful work.  Thank you.",40,10
J20120245-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,Will move with Asian Tigers in a few years again.  Thanks!,40,10
J20120247-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,"Great Crew, job very well done!  Thank you.",40,10
J20120248-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
J20120257-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20120259-1-S1,I,Inbound Job,DTD,Sea,Australia,Singapore,,40,10
J20120261-1-S1,I,Inbound Job,DTD,Sea,Vietnam,Singapore,,40,10
J20120262-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Excellent Service!,40,10
J20120265-1-S1,O,Outbound Job,DTP,Sea,Singapore,Vietnam,,34,8.5
J20120269-1-S1,O,Outbound Job,DTP,Sea,Singapore,France,,40,10
J20120270-1-S1,I,Inbound Job,PTD,Sea,Spain,Singapore,,40,10
J20120272-1-A1,I,Inbound Job,PTD,Air,Australia,Singapore,"On time, good!",40,10
J20120276-1-A1,O,Outbound Job,DTD,Air,Singapore,United States,List of items that can be shipped is very unclear and conservative.  Dadi is very helpful and thorough in packing!,35,8.75
J20120278-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,Courteous packing staff.  Very efficient in their work.,40,10
J20120280-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20120282-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Mike and team were amazing.  Polite, very accommodating and extremely careful and helpful.  Fantastic work ethic and attitudes.  Couldn't have had a better team.  Huge thanks and gratitude to all in the team.  Highly commendable!",40,10
J20120283-1-A1,O,Outbound Job,DTP,Air,Singapore,Japan,Thank you for packing smoothly!,34,8.5
J20120287-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,Singapore team is responsive.  Had some delays with Malaysia team but all sorted finally.,38,9.5
J20120288-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,They did an excellent job.  Everything was done quickly and with care.  They were wonderfully perfectionist and left things cleaner than when they arrived.  Very nice and fun to move with too.  Many thanks and best wishes.  Highly recommend. 10/10,40,10
J20120294-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,,40,10
J20120296-1-S2,O,Outbound Job,DTD,Sea,Singapore,Thailand,,36,9
J20120302-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20120307-1-A1,I,Inbound Job,DTD,Air,China,Singapore,,40,10
J20120309-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20120313-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20120315-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20120317-1-S1,I,Inbound Job,PTD,Sea,"Korea, Democratic People's Republic of",Singapore,,40,10
