JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20080195-1-S1,I,Inbound Job,PTD,Sea,Taiwan,Singapore,,40,10
J20080197-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20080198-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Excellent Service both in Hong Kong and Singapore.  I would particularly like to thank Jess in Hong Kong and Noris in Singapore - they made everything very easy despite COVID.,40,10
J20080199-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,38,9.5
J20080201-1-S1,I,Inbound Job,DTD,Sea,Hong Kong ,Singapore,,40,10
J20080205-1-S1,I,Inbound Job,DTD,Sea,United States,Singapore,Very efficient and very friendly team.,40,10
J20080206-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,"Excellent, efficient, timely, fast and friendly.",40,10
J20080207-1-S2,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,"Absolutely excellent service, fast and professional.  Finished on time.  Would thoroughly recommend.",40,10
J20080210-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,Excellent service.  They took great care to ensure our shipment was off-loaded and unpacked exactly as we had requested.,40,10
J20080212-1-A1,I,Inbound Job,PTD,Air,Canada,Singapore,Extremely professional moving service.  Highly recommend!,40,10
J20080212-1-S1,I,Inbound Job,PTD,Sea,Canada,Singapore,,40,10
J20080213-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,"Excellent crew.  Nothing was a bother.  Very patient and waited for us when needed.  Prioritized what we needed set up.  
Thank you.",40,10
J20080214-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,33,8.25
J20080219-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,40,10
J20080221-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,40,10
J20080222-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Excellent service, very friendly but professional.  Helped with any task required.",40,10
J20080224-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20080236-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Excellent team.  Energetic and no complaints.  Great job by Mr Ghani as well!!,40,10
J20080244-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,Very good and efficient.,40,10
J20080245-1-S1,O,Outbound Job,DTD,Sea,Singapore,Switzerland,"The packing was very fast and efficient.  The workers are polite, friendly and professional.  Would definitely recommend to others.",40,10
J20080247-1-S1,O,Outbound Job,DTD,Sea,Singapore,Switzerland,"All excellent, led by Sariman and Farid.
Worked together very well, thank you.",40,10
J20080249-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,Excellent service in both Vietnam and Singapore.,40,10
J20080250-1-S1,I,Inbound Job,PTD,Sea,Germany,Singapore,"Very fast,  very efficient, very polite and very good!",40,10
J20080254-1-S1,O,Outbound Job,DTP,Sea,Singapore,Vietnam,Good arrangement - all good!,40,10
J20080258-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20080259-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
J20080263-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,,38,9.5
J20080264-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,Great Service!,40,10
J20080269-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,Very polite and hardworking crew.  Many thanks!,40,10
J20080273-1-S1,O,Outbound Job,DTP,Sea,Singapore,Philippines,,40,10
J20080275-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,"Everyone was polite, friendly and patient with my family who were present during packing.",40,10
J20080280-1-S1,I,Inbound Job,PTD,Sea,Netherlands,Singapore,,40,10
J20080282-1-A1,O,Outbound Job,DTP,Air,Singapore,Netherlands,Excellent Service!,40,10
J20080282-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,,40,10
J20080300-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Professional, good.",40,10
J20080301-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Very professional.,40,10
J20080305-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20080310-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,36,9
J20090004-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Just please be aware during the storage, some ants got into a package.

A great service by the delivery guys.  Well impressed with efficiency and polite attitude.
Please give them a bonus!",40,10
J20090005-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20090011-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Thanks so much indeed for this local move.  Every time I used your company (this is 4th time) very satisfied.  I will use again.  Thank you to Augustine and Mike's team.,34,8.5
J20090012-1-S2,O,Outbound Job,DTP,Sea,Singapore,United States,Should not be confused over the volume of a shipment before packing us.  After packing (boxes add volume).,38,9.5
J20090014-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,Very hardworking and respectful team.  Thank you!,40,10
J20090015-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20090020-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20090022-1-S1,O,Outbound Job,DTD,Sea,Singapore,Philippines,Very efficient.  Very helpful.  Very good at their job.  An excellent crew.,40,10
J20090024-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,,40,10
J20090027-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,Very organized! Thanks.,40,10
J20090030-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,"Given the changing situation, Ryan managed well and the day Supervisor HIR also very professional.  HIR and his team of 3 are very efficient.",40,10
J20090031-1-S1,O,Outbound Job,DTP,Sea,Singapore,Germany,,40,10
J20090033-1-S1,O,Outbound Job,DTD,Sea,Singapore,Canada,"Great service, very detailed and thorough.",40,10
J20090035-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,,40,10
J20090043-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20090044-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,The movers were very professional and courteous.  It was a pleasant experience.,40,10
J20090048-1-S2,O,Outbound Job,DTP,Sea,Singapore,Australia,"Great Job - fast, friendly and efficient.  Thank you.",40,10
J20090063-1-S1,I,Inbound Job,PTD,Sea,Germany,Singapore,Very kind and helpful!,40,10
J20090064-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Ghani & Team took care of our concerns during pandemic and did their best to do everything safely.,34,8.5
J20090069-1-A1,O,Outbound Job,O,Air,Singapore,Malaysia,,40,10
J20090081-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20090083-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,Extremely efficient and helpful.  Would highly recommend to others.,40,10
J20090087-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,"The team was friendly, responsible and respectful of our belongings in the process.  Took grea care of the house during packing and moving.",40,10
J20090093-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
